author,h_index,i10_index,citations,h_index_15,i10_index_15,citations_15
UNKNOWN,88,354,44012,44,178,10451
 Haibo Zhang,61,256,13774,41,167,6398
 Yimin  Li,15,16,1691,11,11,804
 Yanan Cao,4,4,113,4,3,68
 Lin  Li,56,641,25415,49,462,17106
 Xiaohui  Sun,7,1,118,7,1,116
 Fang  Wen,26,58,2979,21,45,1732
 Guang  Ning,12,12,2182,11,12,1696
 Weiqing  Wang,12,13,660,12,13,648
 Tetsuro  Kobayashi,18,30,1414,15,21,847
 R. Andrei  Akhmetzhanov,13,16,571,12,14,506
 Sung-mok  Jung,9,7,330,9,7,329
 Baoyin  Yuan,9,7,317,9,7,316
 Ryo  Kinoshita,12,12,524,12,12,523
 Hiroshi  Nishiura,47,184,8422,34,122,4509
 Wei Zhang,126,1030,99685,94,808,68640
 Nicola Luigi  Bragazzi,32,119,4596,30,111,4335
 Qian  Li,26,71,3306,20,44,1879
 Jianhong  Wu,68,320,21967,44,193,9810
 K. Roosa,9,7,326,6,4,211
 Y.  Lee,207,1311,217144,174,1155,151552
 R.  Luo,46,89,27822,29,75,12798
 A.  Kirpich,7,5,137,7,5,132
 R.  Rothenberg,30,67,5046,16,23,926
 J. M.  Hyman,63,150,17502,38,99,6445
 P.  Yan,108,1218,67403,83,951,41498
 G.  Chowell,52,153,10845,40,137,6258
 Yan  Zhen,54,96,17223,41,74,10627
 A.  Wilder-Smith,52,200,14568,43,158,9190
 Stanley  Perlman,62,202,12441,38,113,5765
 Tom  Gallagher,27,34,2779,15,20,990
 Xinguang Chen,49,178,7514,30,124,3595
 Bin  Yu,61,138,25839,47,95,11432
 Billy J Quilty,2,2,113,2,2,113
 Sam  Clifford,18,25,826,17,25,787
 Stefan  Flasche,25,35,2106,21,35,1686
 Rosalind M  Eggo,18,25,1147,18,24,1048
 S. Cleemput,6,5,101,6,5,101
 W.  Dumon,9,9,335,9,9,333
 V.  Fonseca,49,152,9136,30,96,4111
 W. A.  Karim,35,61,5068,30,55,3228
 M.  Giovanetti,54,131,15085,36,97,5453
 T.  de Oliveira,50,398,15769,34,224,8016
 Jaegyun Lim,3,2,92,3,1,88
 Seunghyun  Jeon,8,7,274,8,7,243
 Moon Jung  Kim,9,8,388,9,8,304
 Yu Min  Seong,9,7,383,6,4,296
 Yu Min  Kang,4,2,96,4,2,95
 Sang-Joon  Park,26,48,2299,19,34,966
 Ashwini  Malla,6,3,86,6,3,75
 Waranyoo  Phoolcharoen,11,15,972,11,14,582
 Monica Malta,24,34,2182,18,27,1156
 Anne W.  Rimoin,20,30,1610,16,25,889
 Steffanie A.  Strathdee,100,542,42302,56,398,17043
